Rank	Type	Word
1	noun	time
2	noun	person
3	noun	year
4	noun	way
5	noun	day
6	noun	thing
7	noun	man
8	noun	world
9	noun	life
10	noun	hand
11	noun	part
12	noun	child
13	noun	eye
14	noun	woman
15	noun	place
16	noun	work
17	noun	week
18	noun	case
19	noun	point
20	noun	government
21	noun	company
22	noun	number
23	noun	group
24	noun	problem
25	noun	fact
