Rank	Type	Word
1	other	the
2	other	and
3	other	a
4	other	that
5	other	I
6	other	it
7	other	not
8	other	he
9	other	as
10	other	you
11	other	this
12	other	but
13	other	his
14	other	they
15	other	her
16	other	she
17	other	or
18	other	an
19	other	will
20	other	my
21	other	one
22	other	all
23	other	would
24	other	there
25	other	their
